acc;t
12.578164; 0.469021
12.581876; 0.470006
12.581998; 0.471005
12.580294; 0.472017
12.574611; 0.473006
12.564438; 0.474009
12.563014; 0.475009
12.559291; 0.476004
12.563805; 0.477012
 12.55985; 0.478017
12.562503; 0.479023
12.560033; 0.480005
12.562394; 0.481009
12.567042; 0.482005
12.571338; 0.483011
 12.58577;  0.48401
12.543642; 0.485012
12.562527; 0.485999
12.557989; 0.487006
 12.55766; 0.488013
12.554143; 0.489011
12.556796; 0.490026
12.557721; 0.491006
12.556893; 0.492008
12.558354; 0.493006
12.573917; 0.493998
12.575804; 0.495001
12.597354; 0.496005
12.595931; 0.497004
 12.59402; 0.498014
12.600068; 0.499009
12.600214; 0.500014
12.598705; 0.501021
12.594361; 0.502015
12.597634; 0.503004
12.591538; 0.504001
12.628713; 0.505006
12.615863; 0.506007
12.622203; 0.507003
12.615474; 0.508012
12.619441; 0.509013
12.621899; 0.510001
12.618406; 0.511009
12.622021; 0.512016
12.612249; 0.513008
12.617555;    0.514
12.613819; 0.515008
 12.63554; 0.516003
12.634299; 0.516998
12.639203; 0.518005
12.637183; 0.519006
12.634128; 0.520011
12.633289; 0.521004
 12.63105; 0.522005
12.635418; 0.523015
12.652649;  0.52401
12.636392; 0.525004
12.638972; 0.525996
12.628458; 0.526999
 12.63178; 0.528017
12.629772; 0.529003
  12.6306; 0.530001
12.623481; 0.530998
12.628993; 0.532001
12.636696; 0.533006
12.613734; 0.534014
12.610679; 0.535009
12.603621; 0.535998
12.607369; 0.537002
12.607406; 0.538001
12.610314;    0.539
12.610497; 0.540004
12.609998; 0.540998
12.612602; 0.541995
12.616131; 0.543001
12.616107;  0.54401
12.605264; 0.545012
12.595006; 0.546005
12.593533;    0.547
 12.59806; 0.548009
12.600141; 0.548999
 12.59245; 0.549999
12.597415; 0.550998
12.593558; 0.551996
12.589968; 0.552994
12.578773; 0.553992
12.571362; 0.555003
12.571143; 0.556015
12.570255; 0.557482
12.569549; 0.558007
12.572798; 0.559001
12.573163; 0.560007
12.567529; 0.560992
12.569099; 0.561996
12.579162; 0.562993
12.596065;    0.564
12.577459; 0.564991
12.582046; 0.566004
12.582983; 0.567011
12.580416; 0.568004
12.574891;    0.569
12.583105; 0.569993
12.577325; 0.570997
12.580829; 0.571995
12.577568; 0.572996
12.566604; 0.573992
12.601151; 0.574994
12.600579; 0.575991
12.604741; 0.576999
12.604972;    0.578
12.600117; 0.579006
12.604047; 0.579991
12.597208; 0.580988
12.594032; 0.581994
12.594519; 0.582994
   12.626; 0.583991
12.604984; 0.584996
12.614099; 0.585987
12.618784; 0.586982
12.619489; 0.587998
12.616204; 0.589008
12.619733; 0.590003
12.618565; 0.590989
12.622227; 0.591998
12.625051; 0.592983
12.617433; 0.593997
12.637426; 0.594989
12.633605;  0.59599
12.633362; 0.596986
12.640541;    0.598
12.634895; 0.598994
12.631719; 0.600005
12.635078;    0.601
 12.63352;  0.60199
12.643413; 0.602983
12.649607; 0.603994
12.621948; 0.604992
12.615875; 0.605988
12.621777; 0.606989
12.620925;    0.608
12.612079; 0.608998
12.614877; 0.609996
12.610971; 0.610999
12.621205; 0.611996
12.612602; 0.612988
12.620828; 0.613986
12.603488; 0.614987
12.610947; 0.615986
12.606408; 0.616979
12.610874; 0.617989
12.612383; 0.618987
12.608854; 0.619986
12.616289; 0.620986
12.610107; 0.621995
12.614391;  0.62299
12.609535; 0.623994
12.615437; 0.624983
12.620353; 0.625986
12.613125; 0.626982
12.611701; 0.627997
12.624564; 0.628989
12.620682; 0.629985
12.620597; 0.630984
12.616654; 0.631989
12.621011; 0.632998
12.606311; 0.633994
12.616703; 0.634986
12.609815; 0.635988
 12.61203; 0.636986
12.614817;  0.63799
12.611653; 0.638989
12.608793; 0.639985
12.614768; 0.640982
12.613454; 0.641987
12.613198; 0.642992
12.602478; 0.643998
12.585843; 0.644991
12.570839; 0.645984
12.573333; 0.646984
12.581486; 0.647998
12.578116; 0.648986
12.581559; 0.649983
12.583762;  0.65098
12.579856; 0.651985
12.579284; 0.652981
12.571192; 0.653989
12.589469; 0.654996
12.589932; 0.655989
12.585916; 0.656976
12.590844; 0.657989
12.589639; 0.659115
12.584857; 0.659985
12.592098; 0.660983
12.588812; 0.661982
12.592012; 0.662982
 12.55996; 0.663978
 12.55676; 0.664994
12.554727; 0.665989
12.564219; 0.666989
12.558828; 0.667993
12.556321; 0.668991
12.558962; 0.669977
 12.56344; 0.670982
12.564523;  0.67198
12.558816; 0.672977
12.587692; 0.673977
12.605106; 0.674975
12.598559; 0.675985
12.597549; 0.676992
12.604412; 0.677991
12.602599; 0.678984
12.605605; 0.679979
12.602599; 0.680975
12.599825; 0.681984
12.600725; 0.682975
12.593899; 0.683976
12.624466;  0.68498
12.631902; 0.685978
12.627448; 0.686985
12.628275; 0.687985
12.623712; 0.688982
12.627496; 0.689981
12.625963; 0.690973
12.624759; 0.691978
12.625221; 0.692992
12.642805; 0.693981
12.644241; 0.694987
12.642306; 0.695972
12.640335; 0.696975
12.637803; 0.697984
12.636562; 0.698991
12.637901; 0.699983
12.645859; 0.700976
12.642403; 0.701974
12.645482; 0.702982
12.640103; 0.703972
12.619173; 0.704976
12.615413; 0.705968
12.624673; 0.706975
12.623773; 0.707986
 12.61304; 0.708983
12.618905; 0.709983
12.611227; 0.710986
12.621692; 0.711976
12.617336; 0.712972
12.588642; 0.713973
12.589944; 0.714975
12.590211; 0.715975
12.593826; 0.716979
12.589226; 0.717972
 12.58768;  0.71898
 12.59514;  0.71997
12.594081; 0.720983
12.594726;  0.72198
12.593314; 0.722975
12.586074; 0.723974
  12.5741; 0.724975
12.571885; 0.725973
12.574903; 0.726972
12.571581; 0.727976
12.573552; 0.728983
12.568259; 0.729971
12.568539; 0.730977
12.567346; 0.731986
12.577154;  0.73298
12.577313; 0.733969
  12.5484; 0.734968
12.549057; 0.735971
12.545163; 0.736968
12.548302; 0.737971
12.549239; 0.738972
12.542047; 0.739975
12.539942; 0.740966
12.544177; 0.741975
12.549361; 0.742978
12.535854; 0.743984
12.578286; 0.744969
12.570194; 0.745965
 12.57298; 0.746961
12.568368; 0.747981
12.574039; 0.748977
12.566884; 0.749967
12.560763;  0.75097
12.573053; 0.751976
12.577665; 0.752968
12.601309; 0.753979
12.599545; 0.754982
12.604546;  0.75597
12.601954; 0.756965
12.602429; 0.757969
12.606469;  0.75952
12.603463; 0.759977
12.597634; 0.760973
12.600823; 0.761967
12.603719; 0.762959
12.612857; 0.763973
12.625769; 0.764979
12.645056; 0.765977
12.636976; 0.766965
12.631476;  0.76797
12.631792; 0.768976
12.634201; 0.769965
12.630125; 0.770972
